area,day,label
춘천,2018-06-14,7
춘천,2018-06-15,7
춘천,2018-06-16,7
춘천,2018-06-17,7
춘천,2018-06-18,7
춘천,2018-06-19,7
춘천,2018-06-20,7
춘천,2018-06-21,7
춘천,2018-06-22,0
춘천,2018-06-23,0
춘천,2018-06-24,0
춘천,2018-06-25,0
춘천,2018-06-26,7
춘천,2018-06-27,7
춘천,2018-06-28,7
춘천,2018-06-29,7
춘천,2018-06-30,0
춘천,2018-07-01,7
춘천,2018-07-02,7
춘천,2018-07-03,0
춘천,2018-07-04,0
춘천,2018-07-05,7
춘천,2018-07-06,7
춘천,2018-07-07,7
춘천,2018-07-08,7
춘천,2018-07-09,7
춘천,2018-07-10,7
춘천,2018-07-11,0
춘천,2018-07-12,0
춘천,2018-07-13,0
춘천,2018-07-14,0
춘천,2018-07-15,0
춘천,2018-07-16,0
춘천,2018-07-17,0
춘천,2018-07-18,0
춘천,2018-07-19,0
춘천,2018-07-20,0
춘천,2018-07-21,0
춘천,2018-07-22,0
춘천,2018-07-23,0
춘천,2018-07-24,0
춘천,2018-07-25,0
춘천,2018-07-26,0
춘천,2018-07-27,0
춘천,2018-07-28,0
춘천,2018-07-29,0
춘천,2018-07-30,0
춘천,2018-07-31,0
춘천,2018-08-01,0
춘천,2018-08-02,8
춘천,2018-08-03,8
춘천,2018-08-04,8
춘천,2018-08-05,8
춘천,2018-08-06,8
춘천,2018-08-07,8
춘천,2018-08-08,8
춘천,2018-08-09,8
춘천,2018-08-10,8
춘천,2018-08-11,8
춘천,2018-08-12,8
춘천,2018-08-13,8
춘천,2018-08-14,8
춘천,2018-08-15,8
춘천,2018-08-16,8
춘천,2018-08-17,10
춘천,2018-08-18,10
춘천,2018-08-19,10
춘천,2018-08-20,8
춘천,2018-08-21,8
춘천,2018-08-22,8
춘천,2018-08-23,8
춘천,2018-08-24,10
춘천,2018-08-25,10
춘천,2018-08-26,10
춘천,2018-08-27,10
춘천,2018-08-28,10
춘천,2018-08-29,10
춘천,2018-08-30,10
춘천,2018-08-31,10
