area,day,label
춘천,2022-06-15,7
춘천,2022-06-16,7
춘천,2022-06-17,7
춘천,2022-06-18,7
춘천,2022-06-19,7
춘천,2022-06-20,0
춘천,2022-06-21,0
춘천,2022-06-22,0
춘천,2022-06-23,7
춘천,2022-06-24,0
춘천,2022-06-25,0
춘천,2022-06-26,0
춘천,2022-06-27,0
춘천,2022-06-28,0
춘천,2022-06-29,0
춘천,2022-06-30,7
춘천,2022-07-01,0
춘천,2022-07-02,0
춘천,2022-07-03,0
춘천,2022-07-04,0
춘천,2022-07-05,0
춘천,2022-07-06,0
춘천,2022-07-07,0
춘천,2022-07-08,0
춘천,2022-07-09,0
춘천,2022-07-10,0
춘천,2022-07-11,0
춘천,2022-07-12,0
춘천,2022-07-13,7
춘천,2022-07-14,0
춘천,2022-07-15,0
춘천,2022-07-16,7
춘천,2022-07-17,0
춘천,2022-07-18,0
춘천,2022-07-19,0
춘천,2022-07-20,0
춘천,2022-07-21,7
춘천,2022-07-22,7
춘천,2022-07-23,0
춘천,2022-07-24,7
춘천,2022-07-25,0
춘천,2022-07-26,0
춘천,2022-07-27,0
춘천,2022-07-28,0
춘천,2022-07-29,0
춘천,2022-07-30,0
춘천,2022-07-31,0
춘천,2022-08-01,0
춘천,2022-08-02,8
춘천,2022-08-03,8
춘천,2022-08-04,8
춘천,2022-08-05,8
춘천,2022-08-06,8
춘천,2022-08-07,8
춘천,2022-08-08,8
춘천,2022-08-09,10
춘천,2022-08-10,8
춘천,2022-08-11,8
춘천,2022-08-12,8
춘천,2022-08-13,10
춘천,2022-08-14,8
춘천,2022-08-15,8
춘천,2022-08-16,8
춘천,2022-08-17,10
춘천,2022-08-18,10
춘천,2022-08-19,10
춘천,2022-08-20,8
춘천,2022-08-21,8
춘천,2022-08-22,8
춘천,2022-08-23,8
춘천,2022-08-24,10
춘천,2022-08-25,10
춘천,2022-08-26,10
춘천,2022-08-27,10
춘천,2022-08-28,6
춘천,2022-08-29,6
춘천,2022-08-30,6
춘천,2022-08-31,10
춘천,2022-09-01,10
춘천,2022-09-02,10
춘천,2022-09-03,10
춘천,2022-09-04,10
춘천,2022-09-05,6
춘천,2022-09-06,6
춘천,2022-09-07,6
춘천,2022-09-08,6
춘천,2022-09-09,10
춘천,2022-09-10,10
춘천,2022-09-11,10
춘천,2022-09-12,10
춘천,2022-09-13,10
춘천,2022-09-14,10
춘천,2022-09-15,10
춘천,2022-09-16,10
춘천,2022-09-17,10
춘천,2022-09-18,10
춘천,2022-09-19,10
춘천,2022-09-20,6
춘천,2022-09-21,6
춘천,2022-09-22,6
춘천,2022-09-23,6
춘천,2022-09-24,2
춘천,2022-09-25,6
춘천,2022-09-26,6
춘천,2022-09-27,6
춘천,2022-09-28,6
춘천,2022-09-29,6
춘천,2022-09-30,6
춘천,2022-10-01,6
춘천,2022-10-02,6
춘천,2022-10-03,6
춘천,2022-10-04,6
춘천,2022-10-05,2
춘천,2022-10-06,2
춘천,2022-10-07,2
춘천,2022-10-08,2
춘천,2022-10-09,2
춘천,2022-10-10,13
춘천,2022-10-11,13
춘천,2022-10-12,2
춘천,2022-10-13,2
춘천,2022-10-14,2
춘천,2022-10-15,6
춘천,2022-10-16,2
춘천,2022-10-17,2
춘천,2022-10-18,13
춘천,2022-10-19,13
춘천,2022-10-20,13
춘천,2022-10-21,2
춘천,2022-10-22,2
춘천,2022-10-23,2
춘천,2022-10-24,13
춘천,2022-10-25,13
춘천,2022-10-26,13
춘천,2022-10-27,2
춘천,2022-10-28,2
춘천,2022-10-29,2
춘천,2022-10-30,2
춘천,2022-10-31,2
춘천,2022-11-01,2
춘천,2022-11-02,13
춘천,2022-11-03,13
춘천,2022-11-04,13
춘천,2022-11-05,13
춘천,2022-11-06,13
춘천,2022-11-07,13
춘천,2022-11-08,13
춘천,2022-11-09,13
춘천,2022-11-10,13
춘천,2022-11-11,2
춘천,2022-11-12,2
춘천,2022-11-13,2
춘천,2022-11-14,13
춘천,2022-11-15,13
춘천,2022-11-16,13
춘천,2022-11-17,13
춘천,2022-11-18,13
춘천,2022-11-19,13
춘천,2022-11-20,13
춘천,2022-11-21,13
춘천,2022-11-22,13
춘천,2022-11-23,13
춘천,2022-11-24,13
춘천,2022-11-25,13
춘천,2022-11-26,13
춘천,2022-11-27,15
춘천,2022-11-28,13
춘천,2022-11-29,13
춘천,2022-11-30,12
춘천,2022-12-01,12
춘천,2022-12-02,9
춘천,2022-12-03,15
춘천,2022-12-04,9
춘천,2022-12-05,9
춘천,2022-12-06,9
춘천,2022-12-07,15
춘천,2022-12-08,15
춘천,2022-12-09,15
춘천,2022-12-10,15
춘천,2022-12-11,15
춘천,2022-12-12,15
춘천,2022-12-13,9
춘천,2022-12-14,12
춘천,2022-12-15,12
춘천,2022-12-16,12
춘천,2022-12-17,12
춘천,2022-12-18,12
춘천,2022-12-19,12
춘천,2022-12-20,12
춘천,2022-12-21,9
춘천,2022-12-22,12
춘천,2022-12-23,12
춘천,2022-12-24,12
춘천,2022-12-25,12
춘천,2022-12-26,12
춘천,2022-12-27,12
춘천,2022-12-28,12
춘천,2022-12-29,12
춘천,2022-12-30,9
춘천,2022-12-31,9
춘천,2023-01-01,9
춘천,2023-01-02,12
춘천,2023-01-03,12
춘천,2023-01-04,12
춘천,2023-01-05,9
춘천,2023-01-06,9
춘천,2023-01-07,15
춘천,2023-01-08,9
춘천,2023-01-09,15
춘천,2023-01-10,9
춘천,2023-01-11,9
춘천,2023-01-12,15
춘천,2023-01-13,15
춘천,2023-01-14,15
춘천,2023-01-15,9
춘천,2023-01-16,12
춘천,2023-01-17,9
춘천,2023-01-18,9
춘천,2023-01-19,9
춘천,2023-01-20,12
춘천,2023-01-21,12
춘천,2023-01-22,9
춘천,2023-01-23,9
춘천,2023-01-24,12
춘천,2023-01-25,12
춘천,2023-01-26,12
춘천,2023-01-27,12
춘천,2023-01-28,12
춘천,2023-01-29,12
춘천,2023-01-30,9
춘천,2023-01-31,9
춘천,2023-02-01,3
춘천,2023-02-02,3
춘천,2023-02-03,3
춘천,2023-02-04,3
춘천,2023-02-05,3
춘천,2023-02-06,3
춘천,2023-02-07,3
춘천,2023-02-08,3
춘천,2023-02-09,3
춘천,2023-02-10,3
춘천,2023-02-11,3
춘천,2023-02-12,3
춘천,2023-02-13,5
춘천,2023-02-14,3
춘천,2023-02-15,3
춘천,2023-02-16,3
춘천,2023-02-17,3
춘천,2023-02-18,3
춘천,2023-02-19,3
춘천,2023-02-20,3
춘천,2023-02-21,3
춘천,2023-02-22,3
춘천,2023-02-23,3
춘천,2023-02-24,3
춘천,2023-02-25,3
춘천,2023-02-26,3
춘천,2023-02-27,5
춘천,2023-02-28,3
춘천,2023-03-01,5
춘천,2023-03-02,3
춘천,2023-03-03,3
춘천,2023-03-04,5
춘천,2023-03-05,5
춘천,2023-03-06,5
춘천,2023-03-07,14
춘천,2023-03-08,14
춘천,2023-03-09,14
춘천,2023-03-10,14
춘천,2023-03-11,14
춘천,2023-03-12,5
춘천,2023-03-13,3
춘천,2023-03-14,5
춘천,2023-03-15,5
춘천,2023-03-16,5
춘천,2023-03-17,5
춘천,2023-03-18,5
춘천,2023-03-19,5
춘천,2023-03-20,14
춘천,2023-03-21,14
춘천,2023-03-22,4
춘천,2023-03-23,4
