                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                   1.23,                  2.616,                 2.3204,                 1.3833,                0.06905,                0.17596,                0.05993,                0.02905,                0.29871,                0.05806,                0.03343,                0.01111,                 2.1166,                 4.8129,                 4.4033,                 2.4325,               0.070096,              0.0033227,              0.0033227
                      1,                 1.2433,                 2.4783,                 1.9796,                 1.3694,                0.35857,                0.41778,                0.31261,                0.18504,                0.35135,                0.40225,                0.29736,                0.16594,                 1.4063,                 3.0751,                 2.4895,                 1.6835,                0.04003,              0.0065901,              0.0065901
                      2,                 1.1679,                 2.3732,                 1.8179,                 1.3213,                0.37735,                0.44677,                0.36636,                0.21571,                0.36772,                0.42223,                0.34413,                0.18494,                 1.3578,                 3.4458,                 2.3637,                  1.661,              0.0098981,              0.0097916,              0.0097916
                      3,                 1.1494,                  2.333,                 1.7821,                 1.3091,                 0.3777,                0.51851,                0.41962,                0.26491,                0.37656,                0.50782,                0.40889,                0.23685,                 1.1666,                 2.4285,                 2.3693,                 1.4812,               0.009703,               0.009703,               0.009703
                      4,                 1.1153,                 2.2793,                 1.6975,                 1.2885,                0.49038,                  0.598,                0.54601,                 0.3626,                0.48585,                0.58602,                0.53099,                0.33219,                 1.1058,                 2.3076,                 1.5196,                 1.4082,               0.009703,               0.009703,               0.009703
                      5,                 1.0771,                 2.2418,                 1.6255,                 1.2607,                0.49236,                0.53978,                0.50678,                0.33752,                0.48866,                0.53429,                0.49884,                0.30609,                 1.1311,                 2.4047,                 1.7613,                 1.4318,               0.009604,               0.009604,               0.009604
                      6,                 1.0603,                 2.1848,                 1.5965,                 1.2513,                0.57459,                0.55804,                 0.5796,                0.39755,                 0.5666,                0.54916,                0.56113,                0.36053,                 1.0507,                 2.2519,                 1.4514,                 1.3736,               0.009505,               0.009505,               0.009505
                      7,                 1.0349,                 2.1773,                 1.5638,                 1.2381,                0.53058,                0.51921,                0.53151,                 0.3532,                0.51955,                0.51242,                0.51146,                0.31846,                 1.1053,                 2.3283,                 1.6371,                 1.3929,               0.009406,               0.009406,               0.009406
                      8,                 1.0302,                 2.1578,                 1.5447,                  1.238,                0.57223,                0.60547,                0.61046,                0.42512,                0.57011,                0.59476,                0.59555,                0.38893,                   1.04,                 2.0992,                 1.4109,                 1.3744,               0.009307,               0.009307,               0.009307
                      9,                 1.0262,                 2.1255,                 1.5235,                 1.2278,                0.58541,                0.60016,                0.62417,                0.43275,                0.57995,                0.58885,                 0.6063,                0.39447,                 1.0603,                 2.1382,                  1.407,                 1.3781,               0.009208,               0.009208,               0.009208
                     10,                 1.0173,                 2.1296,                 1.4876,                 1.2226,                0.63155,                  0.645,                0.67623,                0.48071,                0.63181,                0.63889,                 0.6648,                0.44594,                0.97859,                 1.9864,                 1.2301,                 1.3136,               0.009109,               0.009109,               0.009109
                     11,                 1.0039,                 2.1096,                 1.4715,                 1.2156,                0.60971,                0.62027,                0.64538,                0.46133,                0.59696,                0.61563,                0.63246,                0.41915,                0.94676,                 2.0841,                 1.3125,                 1.2863,                0.00901,                0.00901,                0.00901
                     12,                 1.0013,                 2.1003,                 1.4732,                 1.2151,                0.65543,                0.67312,                0.70359,                0.50701,                0.64971,                0.66171,                0.68644,                0.45661,                0.93247,                 1.9959,                 1.1588,                 1.2769,               0.008911,               0.008911,               0.008911
                     13,                0.98358,                 2.0859,                 1.4472,                 1.2069,                0.60521,                0.69207,                0.67653,                0.47927,                0.60055,                 0.6851,                0.66357,                0.43546,                0.94054,                 1.9759,                 1.2772,                 1.2818,               0.008812,               0.008812,               0.008812
                     14,                0.98943,                 2.0768,                 1.4322,                 1.2043,                0.65887,                0.67065,                0.71163,                0.51557,                0.65582,                0.66287,                0.70005,                0.47486,                 0.9321,                 1.9447,                 1.1381,                 1.2606,               0.008713,               0.008713,               0.008713
                     15,                 0.9786,                 2.0581,                 1.4153,                 1.2026,                0.65329,                0.67749,                0.70761,                0.51238,                0.64891,                 0.6728,                0.69604,                0.46982,                0.91756,                 1.9422,                 1.1472,                 1.2568,               0.008614,               0.008614,               0.008614
                     16,                0.97367,                 2.0614,                 1.4078,                 1.1973,                0.64928,                 0.7122,                 0.7321,                0.53514,                0.64275,                 0.7044,                 0.7178,                 0.4846,                0.89439,                  1.923,                 1.1272,                 1.2408,               0.008515,               0.008515,               0.008515
                     17,                0.96167,                 2.0328,                 1.3935,                 1.1889,                0.66962,                0.67656,                0.72467,                0.53008,                 0.6667,                0.66814,                0.71167,                0.48662,                0.93506,                 1.9489,                 1.1229,                  1.261,               0.008416,               0.008416,               0.008416
