지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s)
90,속초,2020-06-08,22.8,16.7,29.4,1.9
90,속초,2020-06-09,25,20.4,32,1.3
90,속초,2020-06-10,24.2,19.6,29.6,1.7
90,속초,2020-06-11,24.7,21.9,29.1,1.8
90,속초,2020-06-12,20.4,19.3,22.3,1.1
90,속초,2020-06-13,23.5,19.2,29.5,1.8
90,속초,2020-06-14,27.3,20.4,33.2,2.3
90,속초,2020-06-15,28.4,23.5,33,3.4
90,속초,2020-06-16,23.5,18.7,27.3,2.3
90,속초,2020-06-17,22.5,17.4,27.5,1.7
90,속초,2020-06-18,20.7,17.9,24.3,2.4
90,속초,2020-06-19,18.1,17.2,18.9,1.9
90,속초,2020-06-20,20.3,16.1,23.8,2.3
90,속초,2020-06-21,21.3,18.6,25,2.4
90,속초,2020-06-22,21.1,17.4,26.7,1.4
90,속초,2020-06-23,21.9,18.8,26,1.2
90,속초,2020-06-24,20,18.8,21.8,1.7
90,속초,2020-06-25,19.3,18.5,21.6,2.8
90,속초,2020-06-26,23.8,18.2,28.6,2
90,속초,2020-06-27,25.3,20.6,30.4,2
90,속초,2020-06-28,21.6,19.4,24.1,1.6
90,속초,2020-06-29,21.4,20.5,23.1,1.8
90,속초,2020-06-30,18.7,16.4,21,5.6
90,속초,2020-07-01,19.5,16.1,25,1.2
90,속초,2020-07-02,22,18,25.7,1.5
90,속초,2020-07-03,21.7,18.6,25.2,2.2
90,속초,2020-07-04,21.1,18,24.8,1.6
90,속초,2020-07-05,23.2,18.4,28.2,2
90,속초,2020-07-06,22.8,19,27.9,1.2
90,속초,2020-07-07,23.1,21,26.9,1.6
90,속초,2020-07-08,23.4,20.6,27,1.7
90,속초,2020-07-09,22.7,21.1,25.8,1.8
90,속초,2020-07-10,21.5,20.5,22.3,2.1
90,속초,2020-07-11,19.3,16.7,21.8,2.5
90,속초,2020-07-12,19.7,15.6,22.8,1.3
90,속초,2020-07-13,19,18.2,19.9,3.3
